disease,symptom
Osteoporosis,Muscle aches
Osteoporosis,Joint pain
Osteoporosis,Low testosterone level
Osteoporosis,Bulimia
Osteoporosis,Thin bones
Osteoporosis,Loss of height
Osteoporosis,Anorexia nervosa
Headache,Headaches
Headache,Confusion
Headache,Memory problems
Headache,Vision problems
Flu,Sore throat
Flu,Red throat
Flu,Watery eyes
Flu,Red nose
Flu,Loss of appetite
Flu,Aching body
Flu,Cough
Flu,Limb pains
Flu,Dry cough
Flu,Kidney disease
Flu,Headaches
Flu,Red skin
Flu,Runny nose
Flu,Chills
Flu,Muscle aches
Flu,Sweating
Flu,Nasal congestion
Flu,Malaise
Flu,Joint pain
Flu,Body aches
Flu,Sneezing
Flu,Fever
Flu,Myalgias
Flu,Aching joints
Flu,Blocked nose
Flu,Red eyes
Flu,Nasal inflammation
Hay fever,Conjunctivitis
Hay fever,Watering eyes
Hay fever,Red-rimmed eyes
Hay fever,Nose rubbing
Hay fever,Breathing difficulties
Hay fever,Allergic shiners (dark rings around the eyes)
Hay fever,Itchy mouth
Hay fever,Runny nose
Hay fever,Shortness of breath or wheezing
Hay fever,Postnasal drip
Hay fever,Sneezing
Hay fever,Itching eyes
Hay fever,Crusting of eyelids
Hay fever,Itching nose
Hay fever,Itching throat
Hay fever,Swollen eyes
Hay fever,Blocked nose
Hay fever,Itchy eyes
Hay fever,Asthma
Hay fever,Coughing
Anxiety,Nausea
Anxiety,Increase in blood pressure
Anxiety,Easily upset when mistake is made - children
Anxiety,Perfectionist behavior in children
Anxiety,Dry mouth
Anxiety,Paresthesia
Anxiety,Hyperventilation
Anxiety,Need for constant reassurance
Anxiety,Unrealistic view of problems
Anxiety,Persistent worrying
Anxiety,Pessimism
Anxiety,Palpitations
Anxiety,Nightmares
Anxiety,Excessive worry
Anxiety,Restlessness
Anxiety,Headaches
Anxiety,Sleep problems
Anxiety,Chest pain
Anxiety,Moodiness
Anxiety,Sexual problems
Anxiety,Irritability
Anxiety,Diarrhea
Anxiety,Muscle tension
Anxiety,Apprehension
Anxiety,Sweating
Anxiety,Swallowing difficulties
Anxiety,Nervousness
Anxiety,Instability
Anxiety,Trembling
Anxiety,Sense of impending doom
Anxiety,Shortness of breath
Anxiety,Rapid breathing
Anxiety,"Flare-up of health problems e.g. asthma, eczema"
Anxiety,Excessive worrying about situations that don't warrant it
Psoriasis,Nausea
Psoriasis,Burning skin
Psoriasis,Rashes
Psoriasis,Itchy skin
Psoriasis,Eyebrow rash
Psoriasis,Cracked skin
Psoriasis,Trunk rash
Psoriasis,Raised red skin patches
Psoriasis,Dry skin patches
Psoriasis,Bleeding skin patches
Psoriasis,Loose silvery scales
Psoriasis,Thick flaky white skin patches
Psoriasis,Emotional distress
Psoriasis,Red plaques (red scales)
Psoriasis,Headaches
Psoriasis,Thickening nails
Psoriasis,Genital region rash
Psoriasis,Restricted joint motion
Psoriasis,Chills
Psoriasis,Skin pain
Psoriasis,Skin blisters
Psoriasis,Small red patches
Psoriasis,Knee rash
Psoriasis,Nail rash
Psoriasis,Skin lesions
Psoriasis,Malaise
Psoriasis,Arthritis
Psoriasis,Stinging skin
Psoriasis,Skin redness around pustules
Psoriasis,Raised pus-filled skin bumps
Psoriasis,Scalp rash
Psoriasis,Arm rash
Psoriasis,Leg rash
Psoriasis,Fever
Psoriasis,Buttocks rash
Psoriasis,Elbow rash
Psoriasis,Armpit rash
Psoriasis,Skin peeling
Psoriasis,Skin inflammation
Psoriasis,Anorexia
Psoriasis,Split nails
Psoriasis,Arthralgias
Constipation,Nausea
Constipation,Difficult bowel movements
Constipation,Loss of appetite
Constipation,Fecal incontinence
Constipation,Stomachaches
Constipation,Fecal straining
Constipation,Rocking
Constipation,Infrequent bowel movement
Constipation,Red face
Constipation,Dry bowel movement
Constipation,Soiling underclothes
Constipation,Refusal to go to the bathroom
Constipation,Clenching buttocks
Constipation,Not eating much
Constipation,Feeling sluggish
Constipation,Diarrhea
Constipation,Crossing legs
Constipation,Abdominal bloating
Constipation,Abdominal swelling
Constipation,Feeling uncomfortable
Constipation,Abdominal pain
Constipation,Squatting
Hemorrhoids,Anal lump
Hemorrhoids,Blood in stool
Hemorrhoids,Anal itching
Hemorrhoids,Chronic constipation
Hemorrhoids,Anal mucus discharge
Hemorrhoids,Feeling of unfinished defecation
Hemorrhoids,Severe rectal pain
Hemorrhoids,Diarrhea
Hemorrhoids,Anal swelling
Hemorrhoids,Feeling of rectal fullness
Hemorrhoids,Rectal bleeding
Urinary incontinence,Sneezing
Urinary incontinence,Engaging in other physical activity
Urinary incontinence,Leakage of urine
Urinary incontinence,Standing
Urinary incontinence,Exercising
Urinary incontinence,Coughing
Genital herpes,Low grade fever
Genital herpes,Mouth infections
Genital herpes,Sores
Genital herpes,Red bumps
Genital herpes,Anal itching
Genital herpes,Vaginal sores
Genital herpes,Cervix sores
Genital herpes,Urinary tract sores
Genital herpes,Abdominal pressure
Genital herpes,Vaginal itching
Genital herpes,Anal burning
Genital herpes,Genital burning
Genital herpes,Penile sores
Genital herpes,Buttock sores
Genital herpes,Thigh sores
Genital herpes,Anal sores
Genital herpes,Urination pain
Genital herpes,Genital itching
Genital herpes,Leg pain
Genital herpes,Penile itching
Genital herpes,Vaginal discharge
Genital herpes,Blisters
Alzheimer's disease,Hostility
Alzheimer's disease,Wandering
Alzheimer's disease,Impaired spatial skills
Alzheimer's disease,Suspicion
Alzheimer's disease,Indifferent attitude
Alzheimer's disease,Normal motor function
Alzheimer's disease,Disorientation
Alzheimer's disease,Incontinence
Alzheimer's disease,Anxiety
Alzheimer's disease,Speaking difficulty
Alzheimer's disease,Forgetfulness
Alzheimer's disease,Confusion
Alzheimer's disease,Loss of memory
Alzheimer's disease,Apathy
Alzheimer's disease,Aggression
Alzheimer's disease,Drooling
Alzheimer's disease,Swallowing difficulties
Alzheimer's disease,Depression
Alzheimer's disease,Reading difficulty
Alzheimer's disease,Thinking difficulties
Alzheimer's disease,Loss of speech
Varicose veins,Swollen feet or ankles
Varicose veins,Enlarged leg veins
Varicose veins,Weak leg muscles
Varicose veins,Enlarged blue or dark purple veins
Varicose veins,Itchy skin on legs or ankles
Varicose veins,Symptoms of hemorrhoids
Varicose veins,Constipations
Varicose veins,Leg muscle cramps
Varicose veins,Poor leg healing
Varicose veins,Leg aches after standing still
Varicose veins,Spider veins on legs
Varicose veins,Leg cramps
Varicose veins,Eczema on legs
Varicose veins,Leg ulcers
Varicose veins,Swelling of legs
Panic attack,Nausea
Panic attack,Lightheadedness
Panic attack,Stomach problems
Panic attack,Hyperventilation
Panic attack,Shaking
Panic attack,Overbreathing
Panic attack,Jelly legs
Panic attack,Intense fear
Panic attack,Palpitations
Panic attack,Breathing difficulties
Panic attack,Fight-or-flight reaction sets in (i.e. adrenaline rush)
Panic attack,Rush feeling (as adrenaline kicks in due to fear)
Panic attack,Feeling of 'what is this rush' (vicious cycle of fear)
Panic attack,Feeling like you're having a heart attack
Panic attack,Feeling that 'something bad is going to happen'
Panic attack,Numbness
Panic attack,Breathlessness
Panic attack,Pounding heartbeat
Panic attack,Tingling
Panic attack,Chest pain
Panic attack,Lump in throat
Panic attack,Panic
Panic attack,Hot flashes
Panic attack,Chills
Panic attack,Feeling like you're losing control
Panic attack,Feeling like you're going crazy
Panic attack,Feeling like you're out of your mind
Panic attack,Feeling sure you are going to die
Panic attack,Feeling like you're going to pass out
Panic attack,Weakness in the legs
Panic attack,Anxiety about something
Panic attack,Racing heartbeat
Panic attack,Full-blown panic
Panic attack,Chest pressure
Panic attack,Throat tightness
Panic attack,Choking sensation
Panic attack,Trembling
Panic attack,Increased sweating
Panic attack,Detachment
Panic attack,Rapid breathing
Panic attack,Chest discomfort
Panic attack,Feeling of unreality
Panic attack,Feeling out of control
Rheumatoid arthritis,Episodic flares and remissions
Rheumatoid arthritis,Dry mouth
Rheumatoid arthritis,"Stiffness, especially in the morning"
Rheumatoid arthritis,Dry eyes
Rheumatoid arthritis,Skin bumps (rheumatoid nodules)
Rheumatoid arthritis,Tiredness
Rheumatoid arthritis,Finger arthritis
Rheumatoid arthritis,Joint swelling
Rheumatoid arthritis,Wrist arthritis
Rheumatoid arthritis,Foot arthritis
Rheumatoid arthritis,Occasional fever
Rheumatoid arthritis,Malaise
Rheumatoid arthritis,Joint pain
Rheumatoid arthritis,Joint stiffness
Rheumatoid arthritis,Neck pain
Rheumatoid arthritis,Fever
Rheumatoid arthritis,Joint tenderness
Rheumatoid arthritis,Warm joints
Rheumatoid arthritis,Reduced appetite
Skin cancer,Unusual mole
Skin cancer,Mole changes
Skin cancer,Crusted bleeding skin lesion that doesn't heal
Skin cancer,Non-healing skin lesion
Allergies,Eczema
Allergies,Conjunctivitis
Allergies,Anaphylactic shock
Allergies,Skin reactions
Allergies,Watering eyes
Allergies,Red-rimmed eyes
Allergies,Nose rubbing
Allergies,Breathing difficulties
Allergies,Allergic shiners (dark rings around the eyes)
Allergies,Headaches
Allergies,Runny nose
Allergies,Shortness of breath or wheezing
Allergies,Diarrhea
Allergies,Postnasal drip
Allergies,Skin swelling
Allergies,Airborne allergies
Allergies,Viral infections
Allergies,Itchy rash
Allergies,Abdominal pain
Allergies,Sneezing
Allergies,Itching eyes
Allergies,Allergic dermatitis
Allergies,Hay fever
Allergies,Eye swelling
Allergies,Crusting of eyelids
Allergies,Itching nose
Allergies,Itching throat
Allergies,Blocked nose
Allergies,Asthma
Allergies,Coughing
Glaucoma,Nausea
Glaucoma,Halos around bright lights
Glaucoma,Sensitivity to light
Glaucoma,Vision loss in advanced cases
Glaucoma,Difficulty driving at night
Glaucoma,Hard eyeball
Glaucoma,Eye pain
Glaucoma,Headaches
Glaucoma,Tunnel vision in advanced cases
Glaucoma,Subtle loss of contrast
Glaucoma,Blurred vision
Glaucoma,Tunnel vision
Glaucoma,Swollen eyes
Cold sores,Gingivostomatitis
Cold sores,Corneal ulcers
Cold sores,Conjunctival ulcers
Cold sores,Recurrent colds
Cold sores,Genital ulcers
Cold sores,Ulcer inside lip
Cold sores,Mouth ulcers
Atherosclerosis,Angina
Atherosclerosis,Abnormal heart rhythm
Atherosclerosis,Heart attacks
Atherosclerosis,High blood pressure
Atherosclerosis,Brain artery disease
Atherosclerosis,Symptoms of leg artery disease
Atherosclerosis,"Sudden numbness, weakness, and dizziness."
Atherosclerosis,Erectile dysfunction
Atherosclerosis,Coronary thrombosis
Atherosclerosis,Leg cramps
Atherosclerosis,Symptoms of
Atherosclerosis,Coronary artery disease
Atherosclerosis,Transient ischemic attacks
Atherosclerosis,Intermittent claudication
Atherosclerosis,Leg pain
Atherosclerosis,Strokes
Atherosclerosis,Shortness of breath
Diarrhea,Nausea
Diarrhea,Light headedness
Diarrhea,Dry skin
Diarrhea,Watery stool
Diarrhea,Abdominal bloating
Diarrhea,Abdominal pain
Diarrhea,Dark urine
Diarrhea,Thirst
Diarrhea,Loose stool
Diarrhea,Infrequent urination
Kidney stones,Nausea
Kidney stones,Urinary urgency
Kidney stones,Backaches
Kidney stones,Reduced urine
Kidney stones,Cloudy urine
Kidney stones,Gout
Kidney stones,Kidney damage
Kidney stones,Severe abdominal pain
Kidney stones,Hematuria
Kidney stones,Groin pain
Kidney stones,Chills
Kidney stones,Kidney pain
Kidney stones,Kidney failure
Kidney stones,Reduced urination
Kidney stones,Fever
Kidney stones,Burning when urinating
Kidney stones,Increased sweating
Kidney stones,Smelly urine
Kidney stones,Vitamin a deficiency
Kidney stones,Acidic urine
Kidney stones,Blood in urine
Dermatitis,Itchy skin
Dermatitis,Red skin
Dermatitis,Blisters
Pollen allergy,Nausea
Pollen allergy,Rhinitis
Pollen allergy,Angioedema
Pollen allergy,Cough
Pollen allergy,Bronchospasm
Pollen allergy,Headaches
Pollen allergy,Diarrhoea
Pollen allergy,Urticaria
Pollen allergy,Abdominal pain
Pollen allergy,Pruritus
Pollen allergy,Syncope
Cancer,Breast lump
Cancer,Mole changes
Cancer,Unexplained weight loss
Cancer,Abscesses
Cancer,Bleeding
Cancer,Poorly healing skin sore
Cancer,Discharge
Cancer,Wart changes
Cancer,Swallowing difficulties
Cancer,Lumps
Cancer,Weight gain
Cancer,Persistent cough
Cancer,Hoarseness
Cancer,Indigestion
Alcoholism,Nausea
Alcoholism,Sleeping difficulties
Alcoholism,Loss of appetite
Alcoholism,Pancreatitis
Alcoholism,Delirium tremens
Alcoholism,Paranoid delusions
Alcoholism,Absence of menstruation
Alcoholism,Blackouts
Alcoholism,Hallucinations
Alcoholism,Drink driving
Alcoholism,Heavy drinking
Alcoholism,Inability to stop drinking
Alcoholism,Neglecting social activities due to alcohol use
Alcoholism,Neglecting personal health
Alcoholism,Nightmares
Alcoholism,Neglecting occupational activities due to alcohol use
Alcoholism,Neglecting recreational activities due to alcohol use
Alcoholism,Anxiety
Alcoholism,Menstrual disorders
Alcoholism,Persistent compulsive urge to drink alcohol
Alcoholism,Inability to stop drinking once person has begun
Alcoholism,Alcoholic liver disease
Alcoholism,Irritability
Alcoholism,Drinking whenever you feel stress
Alcoholism,Anger when asked about drinking
Alcoholism,Guilt when asked about drinking
Alcoholism,Complications of alcoholism
Alcoholism,Premenstrual discomfort
Alcoholism,Inability to cease alcohol intake
Alcoholism,Lying about drinking habits
Alcoholism,Increased tolerance to alcohol
Alcoholism,Altered behaviour when drinking
Alcoholism,Avoiding previously pleasurable activities
Alcoholism,Irregular menstrual cycles
Alcoholism,Loss of work days
Alcoholism,Loss of memory
Alcoholism,Craving alcohol
Alcoholism,Sweating
Alcoholism,Fear
Alcoholism,Frequent intoxication
Alcoholism,Drinking in secret
Alcoholism,Neglecting to eat
Alcoholism,Shakiness
Alcoholism,Undefined
Alcoholism,Increased menstrual flow
Alcoholism,Menstrual pain
Alcoholism,Drunkenness
Alcoholism,Liver disease
Alcoholism,Malnutrition
Alcoholism,Impotence
Alcoholism,Liver cirrhosis
Iron deficiency anemia,Abnormal heart rhythm
Iron deficiency anemia,Lightheadedness
Iron deficiency anemia,Loss of appetite
Iron deficiency anemia,Fingernail abnormalities
Iron deficiency anemia,Pica
Iron deficiency anemia,Tongue inflammation
Iron deficiency anemia,Sore mouth
Iron deficiency anemia,Headaches
Iron deficiency anemia,Sleep problems
Iron deficiency anemia,Chest pain
Iron deficiency anemia,Tiredness
Iron deficiency anemia,Concave nails
Iron deficiency anemia,Low levels of iron in blood
Iron deficiency anemia,Persistent urge to consume ice
Iron deficiency anemia,Persistent urge to consume clay
Iron deficiency anemia,Cold skin
Iron deficiency anemia,Low levels of haemoglobin
Iron deficiency anemia,Brittle nails
Iron deficiency anemia,Reduced red blood cell count
Iron deficiency anemia,Swallowing difficulties
Iron deficiency anemia,Pallor
Iron deficiency anemia,Shortness of breath after exercise
Iron deficiency anemia,Pale lips
Iron deficiency anemia,Husky voice
Iron deficiency anemia,Pale eyelids
Iron deficiency anemia,Cognitive impairments
Gum disease,Bad breath
Gum disease,Swollen gums
Gum disease,Bleeding from gums
Gum disease,Sensitive teeth
Gum disease,Red gums
Gum disease,Sore gums
Gum disease,Loose teeth
Gum disease,Bite changes
Hyperthyroidism,Itchy skin
Hyperthyroidism,Goitre
Hyperthyroidism,Palpitations
Hyperthyroidism,Unexplained weight loss
Hyperthyroidism,Weak leg muscles
Hyperthyroidism,Hair thinning
Hyperthyroidism,Breathlessness
Hyperthyroidism,Tiredness
Hyperthyroidism,Upset stomach
Hyperthyroidism,Irritability
Hyperthyroidism,Bowel frequency
Hyperthyroidism,Lung in front of neck
Hyperthyroidism,Insomnia
Hyperthyroidism,Diarrhea
Hyperthyroidism,Thin skin
Hyperthyroidism,Muscle weakness
Hyperthyroidism,Flushing
Hyperthyroidism,Eye changes
Hyperthyroidism,Protruding eyes
Hyperthyroidism,Sensitivity to heat
Hyperthyroidism,Nervousness
Hyperthyroidism,Shaky hands
Hyperthyroidism,Fine hair
Hyperthyroidism,Lighter menstrual flow
Hyperthyroidism,Brittle hair
Hyperthyroidism,Weight gain
Hyperthyroidism,Hand tremors
Hyperthyroidism,Cessation of menstruation
Age-related macular degeneration,Affecting one or both eyes
Age-related macular degeneration,No eye pain
Age-related macular degeneration,Slow recovery of visual function after exposure to bright light
Age-related macular degeneration,Visual distortions
Age-related macular degeneration,No loss of color vision
Age-related macular degeneration,Difficulty focusing
Age-related macular degeneration,A loss in contrast sensitivity
Age-related macular degeneration,Central scotomas
Age-related macular degeneration,Blurred vision
Age-related macular degeneration,Blind spots
Cataracts,Sensitivity to light
Cataracts,Double vision
Cataracts,Degraded night vision
Cataracts,Faded colors
Cataracts,Night glare
Cataracts,Blurred vision
Cataracts,Cloudy vision
Cataracts,Changes in vision
Cataracts,Halo around lights
Cataracts,Cloudy corneas
Pneumonia,Rhinitis
Pneumonia,Shivering
Pneumonia,Lung scarring
Pneumonia,Cough
Pneumonia,Non-productive cough
Pneumonia,Shallow breathing
Pneumonia,Dry cough
Pneumonia,Breathlessness
Pneumonia,Headaches
Pneumonia,Tiredness
Pneumonia,Productive cough
Pneumonia,Chills
Pneumonia,Lung fibrosis
Pneumonia,Convulsions
Pneumonia,Muscle aches
Pneumonia,Sweating
Pneumonia,Difficult breathing
Pneumonia,Blood sputum
Pneumonia,High fever
Pneumonia,Chest pain on breathing
Pneumonia,Fever
Pneumonia,Sputum
Pneumonia,Cough with thick yellow-green mucus
Pneumonia,Cyanosis
Pneumonia,Cough with rust-colored sputum
Pneumonia,Rapid breathing
Pneumonia,Fever and chills
Pneumonia,Lung cancer
Sjogren's syndrome,Recurrent mouth infections
Sjogren's syndrome,Dry mouth
Sjogren's syndrome,Dryness
Sjogren's syndrome,Dry eyes
Sjogren's syndrome,Eating difficulty
Sjogren's syndrome,Oral candidiasis
Sjogren's syndrome,Dry throat
Sjogren's syndrome,Gritty eyes
Sjogren's syndrome,Sun sensitivity
Sjogren's syndrome,Tired eyes
Sjogren's syndrome,Cracked skin
Sjogren's syndrome,Light sensitive eyes
Sjogren's syndrome,Dry skin
Sjogren's syndrome,Both parotid salivary glands swollen
Sjogren's syndrome,Excessive tearing
Sjogren's syndrome,Sore mouth
Sjogren's syndrome,One-sided swollen parotid salivary gland
Sjogren's syndrome,Stingy eye
Sjogren's syndrome,Pain during sex
Sjogren's syndrome,Speaking difficulty
Sjogren's syndrome,Burning eyes
Sjogren's syndrome,Periods of remission and recurrences
Sjogren's syndrome,Smooth tongue
Sjogren's syndrome,Vaginal dryness
Sjogren's syndrome,Blurred vision that improves with blinking
Sjogren's syndrome,Mouth redness
Sjogren's syndrome,Irritation
Sjogren's syndrome,Gritty feel in eye
Sjogren's syndrome,Limb numbness
Sjogren's syndrome,Lung problems
Sjogren's syndrome,Dry larynx
Sjogren's syndrome,Extreme fatigue
Sjogren's syndrome,Tasting difficulty
Sjogren's syndrome,Symptoms caused by
Sjogren's syndrome,Thick saliva
Sjogren's syndrome,Tongue ulcers
Sjogren's syndrome,Burning
Sjogren's syndrome,Joint pain
Sjogren's syndrome,Cracked lips
Sjogren's syndrome,Swollen cheeks
Sjogren's syndrome,Muscle pain
Sjogren's syndrome,Itching eyes
Sjogren's syndrome,Swollen jaw
Sjogren's syndrome,Swallowing difficulties
Sjogren's syndrome,Thyroid problems
Sjogren's syndrome,Itching
Sjogren's syndrome,Foreign body sensation
Sjogren's syndrome,Pneumonia
Sjogren's syndrome,Dental caries
Sjogren's syndrome,Dry nose
Sjogren's syndrome,Red eyes
Sjogren's syndrome,Redness
Sjogren's syndrome,Chewing difficulty
Sjogren's syndrome,Itchy eyes
Sjogren's syndrome,Skin rashes
Sjogren's syndrome,Hoarseness
Anemia,Low blood pressure
Anemia,Dizziness
Anemia,Tongue inflammation
Anemia,Breathing difficulties
Anemia,Jaundice
Anemia,Tiredness
Anemia,Concave nails
Anemia,Difficulty standing up
Anemia,Brittle nails
Anemia,Swallowing difficulties
Anemia,Yellow skin
Anemia,Pallor
Anemia,Yellow eyes
Anemia,Hemolytic anemia
Anemia,Shortness of breath after exercise
Anemia,Husky voice
Anemia,Rapid breathing
Diverticular disease,Nausea
Diverticular disease,Blood in stool
Diverticular disease,Colon muscle spasms
Diverticular disease,Gastrointestinal bleeding
Diverticular disease,Constipations
Diverticular disease,Diarrhea
Diverticular disease,Chills
Diverticular disease,Abdominal bloating
Diverticular disease,Abdominal pain
Diverticular disease,Fever
Diverticular disease,Cramping pain
Diverticular disease,Abdominal cramps
Diverticular disease,Rectal bleeding
Aids,Nausea
Aids,Opportunistic infections
Aids,Cough
Aids,Swollen glands
Aids,Headaches
Aids,Tiredness
Aids,Diarrhea
Aids,Chills
Aids,Sweating
Aids,Weakened immune system
Aids,Fever
Rosacea,Bulbous red nose
Rosacea,Inflamed eyelids
Rosacea,Face redness
Rosacea,Neck redness
Rosacea,Skin redness
Rosacea,Facial flushing
Rosacea,No comedones
Rosacea,Blurry vision
Rosacea,Swollen face blood vessels (telangiectasia)
Rosacea,Broken small facial blood vessels
Rosacea,Telengectasia (visible blood vessels)
Rosacea,Burning eyes
Rosacea,Fair skin
Rosacea,Thickened nasal skin
Rosacea,Eyelid infection
Rosacea,Erythema (redness and swelling)
Rosacea,Tearing
Rosacea,Swollen skin
Rosacea,Pustules
